id,time,lng,lat,district,subway,price_per_square,total_price,year,month
101101648809,2017-08-04,116.603501,39.919667,7,1.0,47399,501.0,2017,2017-08
BJCP89232760,2015-12-13,116.354287,40.079237,6,1.0,28145,279.5,2015,2015-12
101100304462,2016-07-31,116.297652,40.212461,6,1.0,34452,302.0,2016,2016-07
BJFT90695276,2016-03-06,116.24585,39.839535,2,0.0,24435,148.0,2016,2016-03
BJCY87707530,2014-12-07,116.4388,40.054941,7,1.0,44296,290.0,2014,2014-12
BJCY89475781,2015-06-08,116.47773,40.002156,7,1.0,35309,388.0,2015,2015-06
101102347372,2017-12-06,116.512182,39.928407,7,1.0,58445,308.0,2017,2017-12
BJHD86741382,2014-03-08,116.308482,39.943704,8,0.0,42402,432.5,2014,2014-03
101101782368,2017-08-05,116.488534,39.875468,7,1.0,58818,610.0,2017,2017-08
101101533886,2017-05-20,116.31681,39.768231,4,0.0,71602,295.0,2017,2017-05
BJCP87163823,2014-04-05,116.376864,40.087011,6,1.0,28835,288.0,2014,2014-04
101100635178,2016-09-28,116.347196,39.884733,10,0.0,79161,400.0,2016,2016-09
101100712034,2016-10-16,116.364365,40.069487,8,0.0,56705,658.0,2016,2016-10
BJFT88195133,2014-11-16,116.441502,39.872065,2,1.0,34193,252.0,2014,2014-11
BJFT89195311,2015-04-11,116.444313,39.862824,2,1.0,25213,290.6,2015,2015-04
BJFT89247553,2015-04-26,116.299198,39.838131,2,1.0,24470,249.0,2015,2015-04
101100294905,2016-08-17,116.422746,39.870396,2,1.0,47604,295.0,2016,2016-08
101101317343,2017-03-17,116.274464,40.123882,6,0.0,51122,440.0,2017,2017-03
101100443198,2016-08-29,116.414019,40.121777,6,0.0,25213,318.0,2016,2016-08
101102259773,2017-12-11,116.356742,39.916768,10,1.0,104279,780.0,2017,2017-12
BJTJ85836783,2013-06-20,116.674053,39.882658,11,1.0,21934,156.8,2013,2013-06
101101115646,2017-03-27,116.293444,40.037849,8,0.0,76279,455.0,2017,2017-03
101100813980,2016-12-28,116.328627,39.979037,8,1.0,101072,736.0,2016,2016-12
BJCY86252150,2013-08-30,116.476868,40.012847,7,1.0,40830,325.0,2013,2013-08
BJHD86056255,2013-09-06,116.308152,39.986695,8,1.0,44517,410.0,2013,2013-09
BJCP84781519,2012-10-15,116.43942,40.072066,6,0.0,17746,134.0,2012,2012-10
BJCY86677060,2013-11-11,116.466282,39.972255,7,0.0,54257,550.0,2013,2013-11
BJCY88138781,2014-09-08,116.413174,39.972706,7,1.0,39635,230.0,2014,2014-09
BJCY88486383,2015-01-15,116.450729,39.977923,7,1.0,61276,588.0,2015,2015-01
BJCY91713668,2016-03-10,116.420472,40.003028,7,1.0,51062,320.0,2016,2016-03
101100619070,2017-02-20,116.518451,39.92401,7,0.0,59814,640.0,2017,2017-02
BJXC91211082,2016-01-05,116.352941,39.904679,10,0.0,79876,512.0,2016,2016-01
BJCY91877975,2016-03-30,116.478008,39.918015,7,1.0,60566,900.0,2016,2016-03
BJCY87814425,2015-05-10,116.404579,39.978491,7,1.0,42106,256.0,2015,2015-05
101101163437,2017-02-16,116.356219,39.907821,10,1.0,114458,950.0,2017,2017-02
BJHD87401655,2014-04-22,116.280601,40.037442,8,1.0,40451,280.0,2014,2014-04
101100632600,2017-01-19,116.417991,39.956806,1,1.0,108349,706.0,2017,2017-01
101100242102,2016-07-01,116.489739,39.939299,7,1.0,53351,746.0,2016,2016-07
BJFT88702645,2015-01-07,116.270328,39.858193,2,0.0,23725,180.0,2015,2015-01
BJCP84872488,2012-11-19,116.407162,40.054375,6,0.0,21239,178.0,2012,2012-11
101091833655,2016-07-09,116.448876,39.901694,1,1.0,65036,412.0,2016,2016-07
BJCY91713388,2016-05-02,116.389228,39.988818,7,1.0,57761,390.0,2016,2016-05
BJCY90998700,2016-02-27,116.398206,39.979381,7,1.0,55236,278.0,2016,2016-02
101092368270,2016-07-24,116.371533,39.901713,10,1.0,87398,586.0,2016,2016-07
101100185257,2016-07-13,116.43345,39.944246,1,1.0,76654,415.0,2016,2016-07
BJXC90660955,2016-01-09,116.345325,39.903799,10,0.0,55604,640.0,2016,2016-01
BJYZ89439904,2015-09-29,116.497474,39.810115,3,1.0,41362,328.0,2015,2015-09
101092315633,2016-09-08,116.442298,39.970551,7,1.0,55434,380.0,2016,2016-09
101100279011,2016-08-23,116.195177,39.932325,9,0.0,33416,337.5,2016,2016-08
101101384178,2017-04-03,116.330198,40.074228,6,1.0,73102,415.0,2017,2017-04
101100416005,2016-08-28,116.471076,39.995318,7,1.0,73881,495.0,2016,2016-08
